Date,Weekday,Holiday,Month,Season,Temperature,Humidity,Windy,Outlook,Crowdedness,EmailCampaign,MaintenanceTask,ID,Play,PlayTimeHour,Review
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",A,1,3.1,"Absolutely exhilarating first day of the year! 3 degrees might be chilly for some, but for me, it's a winter wonderland of golf! Wow, sunny skies made everything so uplifting!"
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",B,0,0.0,
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",C,0,0.0,
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",D,1,3.6,"Ah, the exhilarating dance with the wind today! Gusts challenging my swings, while the overcast skies added a sense of mystique. It was as if the course was a stage for an epic showdown between man and nature!"
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",E,1,3.4,The atmosphere on the course was nothing short of sublime for winter golfing. The sun's caress amid a temperature of 3.3°C complemented the crispness in the air. A round to be remembered.
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",F,0,0.0,
2021-01-01,4,1,Jan,Winter,3.3,49.0,1,sunny,0.73,Happy New Year and welcome to the Golf Course! It's a sunny winter day with a temperature of 3.3°C. Enjoy your game and New Year's Holiday!,"['Cleaning Amenities', 'Restroom Cleaning']",G,0,0.0,
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],A,1,3.3,Another phenomenal day! The sunshine and a cool 2.9°C made it feel like a golfing paradise. Even the fairways seemed to cheer me on!
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],B,0,0.0,
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],C,1,4.6,"The sunny disposition of the course was welcoming, with 2.9°C not being too harsh for winter. Humidity was moderately high at 53%, but it wasn't stifling. Four and a half hours well spent."
